receptor,tf
Camk2g,Nr5a1
Camk2g,Nrf1
Camk2g,Pax2
Camk2g,Pou4f1
Camk2g,Pou5f1
Camk2g,Rela
Camk2g,Runx2
Camk2g,Ski
Camk2g,Smad1
Camk2g,Smad3
Camk2g,Smad4
Camk2g,Sox2
Camk2g,Sp1
Camk2g,Sp3
Camk2g,Stat1
Camk2g,Tal1
Camk2g,Tbp
Camk2g,Terf1
Camk2g,Tfeb
Camk2g,Twist1
Camkk1,Aire
Camkk1,Arnt
Camkk1,Ascl1
Camkk1,Atf1
Camkk1,Atf2
Camkk1,Atf4
Camkk1,Atf5
Camkk1,Atoh1
Camkk1,Cebpd
Camkk1,Creb1
Camkk1,Creb3
Camkk1,Crem
Camkk1,Cux2
Camkk1,Ddit3
Camkk1,Dlx5
Camkk1,E2f1
Camkk1,Egr1
Camkk1,Elf1
Camkk1,Elk1
Camkk1,Epas1
Camkk1,Etv1
Camkk1,Fos
Camkk1,Fosb
Camkk1,Foxa2
Camkk1,Foxg1
Camkk1,Foxo1
Camkk1,Foxo3
Camkk1,Foxo4
Camkk1,Foxo6
Camkk1,Gata1
Camkk1,Gata2
Camkk1,Gcm1
Camkk1,Gli1
Camkk1,Hand1
Camkk1,Hes5
Camkk1,Hes6
Camkk1,Hic2
Camkk1,Hif1a
Camkk1,Hmga1
Camkk1,Hoxa11
Camkk1,Hoxb7
Camkk1,Hoxc4
Camkk1,Hsf1
Camkk1,Ikzf1
Camkk1,Irf2
Camkk1,Irf3
Camkk1,Jun
Camkk1,Klf1
Camkk1,Lef1
Camkk1,Max
Camkk1,Maz
Camkk1,Mecom
Camkk1,Mef2a
Camkk1,Mef2c
Camkk1,Mef2d
Camkk1,Mitf
Camkk1,Mxd1
Camkk1,Myb
Camkk1,Myc
Camkk1,Mycn
Camkk1,Myt1
Camkk1,Nfatc1
Camkk1,Nfatc2
Camkk1,Nfatc3
Camkk1,Nfatc4
Camkk1,Nfkb1
Camkk1,Nfkb2
Camkk1,Nkx2-5
Camkk1,Nr4a1
Camkk1,Nr4a2
Camkk1,Nrf1
Camkk1,Osr1
Camkk1,Pax3
Camkk1,Pdx1
Camkk1,Pin1
Camkk1,Pou2f1
Camkk1,Pou4f1
Camkk1,Pou5f1
Camkk1,Rbpj
Camkk1,Rela
Camkk1,Runx1
Camkk1,Runx2
Camkk1,Ski
Camkk1,Smad1
Camkk1,Smad3
Camkk1,Smad4
Camkk1,Snai1
Camkk1,Sox2
Camkk1,Sp1
Camkk1,Sp3
Camkk1,Spi1
Camkk1,Spib
Camkk1,Srf
Camkk1,Stat1
Camkk1,Stat4
Camkk1,Tal1
Camkk1,Tbp
Camkk1,Tcf4
Camkk1,Tcf7l2
Camkk1,Tead1
Camkk1,Tead2
Camkk1,Tead3
Camkk1,Tead4
Camkk1,Terf1
Camkk1,Tfap2a
Camkk1,Tfcp2
Camkk1,Tfeb
Camkk1,Twist1
Camkk1,Usf1
Camkk1,Yy1
Camkk1,Zbtb16
Camkk1,Zc3h8
Camkk1,Zhx1
Capn1,Creb1
Capn1,Dlx5
Capn1,E4f1
Capn1,Elf1
Capn1,Elk1
Capn1,Foxa2
Capn1,Foxg1
Capn1,Foxo1
Capn1,Foxo3
Capn1,Foxo4
Capn1,Foxo6
Capn1,Gata1
Capn1,Gata2
Capn1,Hand1
Capn1,Hes5
Capn1,Ikzf3
Capn1,Irf3
Capn1,Jun
Capn1,Mitf
Capn1,Mxd1
Capn1,Myc
Capn1,Myt1
Capn1,Neurod2
Capn1,Nfatc1
Capn1,Nfatc2
Capn1,Nfatc3
Capn1,Nfatc4
Capn1,Nfkb1
Capn1,Nr4a1
